frequency,slang,vulgarity,offensiveness,formality,score
1.0,1.0,0.0,0.0,0.0,0.4762268968763903
0.0,0.0,1.0,1.0,0.0,0.19963531783838184
0.0,0.0,1.0,0.0,0.0,0.5157233169320926
1.0,1.0,0.0,1.0,0.0,0.8214612138298485
1.0,0.0,0.0,1.0,1.0,0.8458735746601442
0.0,1.0,1.0,1.0,1.0,0.1686097631501392
0.0,0.0,0.0,1.0,1.0,0.5285684302012659
1.0,1.0,1.0,0.0,0.0,0.8026979975624406
1.0,0.0,1.0,1.0,1.0,0.3067441051382426
0.0,1.0,1.0,0.0,0.0,0.01167280057447273
1.0,1.0,0.0,0.0,1.0,0.40726902216410366
0.0,1.0,1.0,1.0,1.0,0.9784793981695168
1.0,1.0,1.0,1.0,1.0,0.9878983828253529
1.0,1.0,1.0,1.0,0.0,0.19979707382943956
1.0,0.0,0.0,0.0,0.0,0.427366114541037
0.0,1.0,0.0,0.0,0.0,0.7938212085420348
0.0,0.0,0.0,0.0,1.0,0.3970093471812781
0.0,1.0,1.0,0.0,0.0,0.5373084453295446
0.0,1.0,0.0,1.0,0.0,0.9225552542516994
0.0,1.0,1.0,1.0,1.0,0.5337622108334332
1.0,1.0,1.0,0.0,1.0,0.6045803444079692
0.0,1.0,1.0,0.0,0.0,0.9666290136350313
1.0,0.0,1.0,1.0,0.0,0.49302424009343826
0.0,0.0,1.0,0.0,0.0,0.8175666327275856
0.0,1.0,0.0,1.0,1.0,0.06565067875254149
0.0,0.0,0.0,1.0,1.0,0.9318764509147662
0.0,0.0,1.0,0.0,1.0,0.8108399330660664
0.0,1.0,0.0,1.0,0.0,0.11690570399904443
1.0,1.0,1.0,1.0,0.0,0.09991032321172444
0.0,0.0,0.0,1.0,1.0,0.25530785982042736
1.0,1.0,0.0,1.0,1.0,0.04767411317086534
1.0,0.0,1.0,1.0,0.0,0.10711719055103452
0.0,0.0,0.0,0.0,1.0,0.8675236998519704
1.0,0.0,1.0,0.0,0.0,0.20127854661731248
0.0,1.0,1.0,0.0,1.0,0.3703219289662777
0.0,1.0,1.0,0.0,0.0,0.48427499666627694
0.0,0.0,0.0,1.0,0.0,0.08573429640769803
0.0,0.0,1.0,0.0,0.0,0.3486159965559662
0.0,1.0,0.0,0.0,0.0,0.4212074979110787
0.0,0.0,1.0,1.0,1.0,0.8384376758575065
1.0,1.0,0.0,1.0,1.0,0.08609078225172928
0.0,1.0,1.0,0.0,1.0,0.06532287532196934
1.0,0.0,0.0,0.0,1.0,0.6717048191144633
1.0,0.0,1.0,0.0,1.0,0.2521940085830494
0.0,1.0,1.0,0.0,0.0,0.7873904007974157
1.0,0.0,1.0,0.0,1.0,0.08414428032271504
0.0,1.0,0.0,0.0,1.0,0.4655214334095794
1.0,1.0,1.0,0.0,0.0,0.9802902436909732
0.0,1.0,1.0,0.0,1.0,0.5377803346244093
0.0,1.0,0.0,0.0,0.0,0.519278996566969
0.0,0.0,0.0,0.0,1.0,0.22771274451976065
1.0,0.0,0.0,1.0,1.0,0.34741548465454375
0.0,0.0,1.0,0.0,1.0,0.8887970419870522
0.0,1.0,1.0,0.0,1.0,0.37969624722309125
1.0,0.0,1.0,1.0,0.0,0.8510835749382568
1.0,1.0,0.0,1.0,0.0,0.6913305411308274
1.0,1.0,0.0,0.0,1.0,0.8080753170567978
1.0,0.0,0.0,0.0,0.0,0.8072913052343575
0.0,0.0,1.0,1.0,1.0,0.6458248845361916
1.0,0.0,0.0,0.0,0.0,0.808757891293278
0.0,0.0,0.0,0.0,0.0,0.3943291893522408
1.0,0.0,0.0,1.0,1.0,0.5998800588228089
0.0,1.0,0.0,1.0,1.0,0.5479545880952861
0.0,1.0,1.0,1.0,0.0,0.09648524478333409
0.0,0.0,0.0,1.0,0.0,0.1168004983074894
0.0,0.0,0.0,1.0,0.0,0.7514060070457236
1.0,1.0,1.0,0.0,0.0,0.22967076779364692
0.0,1.0,0.0,1.0,0.0,0.3962767504776543
1.0,1.0,1.0,0.0,0.0,0.3279400839643105
1.0,1.0,1.0,1.0,0.0,0.026011774034295998
1.0,0.0,1.0,1.0,0.0,0.5471492360884267
0.0,0.0,0.0,0.0,1.0,0.5873715173492865
0.0,0.0,0.0,1.0,1.0,0.9492868029565013
0.0,0.0,0.0,0.0,1.0,0.6268939301436733
1.0,1.0,1.0,0.0,1.0,0.20566132289743166
1.0,1.0,1.0,1.0,0.0,0.1122612365803285
1.0,1.0,1.0,0.0,0.0,0.4722314931682926
0.0,1.0,1.0,0.0,0.0,0.32713908927049573
0.0,1.0,0.0,1.0,0.0,0.3292134391671441
1.0,1.0,1.0,1.0,0.0,0.4848474759630155
0.0,0.0,1.0,1.0,1.0,0.7153775479626787
0.0,1.0,0.0,0.0,0.0,0.5788504415719384
0.0,1.0,1.0,0.0,0.0,0.20760732511262847
1.0,1.0,0.0,1.0,0.0,0.7236755339581389
1.0,1.0,0.0,1.0,0.0,0.5456203479044409
1.0,1.0,0.0,0.0,1.0,0.5009869921999313
1.0,0.0,1.0,0.0,0.0,0.015283603581078498
1.0,0.0,1.0,1.0,1.0,0.06279554735603843
0.0,0.0,1.0,1.0,0.0,0.9591615001197188
0.0,0.0,1.0,0.0,1.0,0.5289077958910955
0.0,1.0,0.0,1.0,1.0,0.47531042647147725
1.0,1.0,1.0,0.0,0.0,0.26600300702459323
1.0,1.0,1.0,0.0,0.0,0.3799406678598244
1.0,1.0,0.0,0.0,0.0,0.6728509352684146
0.0,0.0,0.0,1.0,0.0,0.28167581142788845
1.0,1.0,0.0,0.0,1.0,0.9395625890325635
1.0,1.0,1.0,0.0,0.0,0.13409835810079895
1.0,0.0,1.0,1.0,1.0,0.8702302060085784
1.0,1.0,0.0,1.0,1.0,0.8656599197227343
1.0,0.0,1.0,1.0,1.0,0.5805417704092176
